Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities, LowerBoundCosts
net3, net3-10-10, 18, 25, 20, 5, 0, 0, 5, 12, 10, 9110.0
net3, net3-10-10, 19, 5, 5, 0, 0, 0, 4, 1, 9, 9868.0

net3, net3-10-60, 1, 1000, 886, 114, 0, 0, -1, -1, -1, 0.0
net3, net3-10-60, 2, 114, 26, 88, 0, 0, 74, 11, 133, 0.0
net3, net3-10-60, 3, 88, 0, 88, 0, 0, 61, 6, 122, 0.0
net3, net3-10-60, 4, 88, 0, 88, 0, 0, 57, 5, 113, 0.0
net3, net3-10-60, 5, 88, 0, 88, 0, 0, 39, 19, 81, 0.0
net3, net3-10-60, 6, 88, 0, 88, 0, 0, 31, 9, 66, 0.0
net3, net3-10-60, 7, 88, 1, 87, 0, 0, 27, 5, 61, 326.0
net3, net3-10-60, 8, 87, 14, 73, 0, 0, 12, 18, 31, 4724.0
net3, net3-10-60, 9, 73, 7, 66, 0, 0, 11, 2, 28, 6912.0
net3, net3-10-60, 10, 66, 31, 35, 0, 0, 6, 8, 19, 20390.0

net3, net3-60-10, 1, 1000, 410, 590, 0, 0, -1, -1, -1, 110.0
net3, net3-60-10, 2, 590, 14, 576, 0, 0, 74, 4, 140, 186.0
net3, net3-60-10, 3, 576, 1, 575, 0, 0, 71, 2, 137, 226.0
net3, net3-60-10, 4, 575, 9, 566, 0, 0, 65, 10, 123, 660.0
net3, net3-60-10, 5, 566, 1, 565, 0, 0, 63, 2, 121, 946.0
net3, net3-60-10, 6, 565, 6, 559, 0, 0, 59, 6, 115, 1330.0
net3, net3-60-10, 7, 559, 8, 551, 0, 0, 53, 6, 105, 1706.0
net3, net3-60-10, 8, 551, 12, 539, 0, 0, 50, 4, 96, 2392.0
net3, net3-60-10, 9, 539, 13, 526, 0, 0, 42, 9, 79, 3704.0
net3, net3-60-10, 10, 526, 76, 450, 0, 0, 31, 14, 50, 9998.0
net3, net3-60-10, 11, 450, 28, 422, 0, 0, 29, 2, 48, 12490.0
net3, net3-60-10, 12, 422, 23, 399, 0, 0, 28, 1, 47, 14378.0
net3, net3-60-10, 13, 399, 33, 366, 0, 0, 25, 3, 44, 17532.0
net3, net3-60-10, 14, 366, 13, 353, 0, 0, 24, 1, 43, 18748.0
net3, net3-60-10, 15, 353, 46, 307, 0, 0, 21, 4, 39, 23520.0
net3, net3-60-10, 16, 307, 15, 292, 0, 0, 20, 1, 38, 25038.0
net3, net3-60-10, 17, 292, 88, 204, 0, 0, 16, 4, 30, 33810.0
