Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities
net3, net3-60-10, 10, 57, 47, 10, 0, 303, 16, 9, 29
net3, net3-60-10, 11, 93, 90, 3, 0, 220, 11, 4, 22
net3, net3-60-10, 12, 68, 65, 3, 0, 155, 9, 9, 16
net3, net3-60-10, 13, 107, 107, 0, 0, 51, 5, 3, 7
net3, net3-60-10, 14, 39, 39, 0, 0, 12, 3, 8, 2
net3, net3-60-10, 15, 12, 12, 0, 0, 0, 1, 4, 0

net3, net3-60-60, 1, 1000, 384, 616, 0, 0, -1, -1, -1
net3, net3-60-60, 2, 15, 14, 1, 0, 601, 74, 27, 117
net3, net3-60-60, 3, 4, 0, 4, 0, 598, 47, 35, 72
net3, net3-60-60, 4, 14, 1, 13, 0, 588, 24, 23, 41
net3, net3-60-60, 5, 60, 48, 12, 0, 541, 13, 5, 32
net3, net3-60-60, 6, 75, 71, 4, 0, 478, 10, 3, 26
net3, net3-60-60, 7, 89, 89, 0, 0, 393, 8, 7, 21
net3, net3-60-60, 8, 147, 136, 11, 0, 246, 6, 8, 14
net3, net3-60-60, 9, 190, 176, 1, 13, 67, 3, 3, 4

net4, net4-10-10, 1, 1000, 903, 97, 0, 0, -1, -1, -1
net4, net4-10-10, 2, 18, 17, 1, 0, 79, 71, 10, 131
net4, net4-10-10, 3, 4, 3, 1, 0, 76, 62, 13, 117
net4, net4-10-10, 4, 5, 3, 2, 0, 72, 51, 25, 78
net4, net4-10-10, 5, 10, 4, 6, 0, 64, 33, 12, 61
net4, net4-10-10, 6, 10, 9, 1, 0, 60, 25, 3, 50
net4, net4-10-10, 7, 14, 11, 3, 0, 47, 22, 13, 40
net4, net4-10-10, 8, 10, 8, 2, 0, 40, 15, 5, 26
net4, net4-10-10, 9, 17, 15, 2, 0, 25, 10, 4, 14
net4, net4-10-10, 10, 12, 12, 0, 0, 15, 7, 10, 9
net4, net4-10-10, 11, 12, 12, 0, 0, 3, 3, 4, 5
net4, net4-10-10, 12, 3, 3, 0, 0, 0, 2, 7, 2

net4, net4-10-60, 1, 1000, 879, 121, 0, 0, -1, -1, -1
net4, net4-10-60, 2, 25, 24, 1, 0, 96, 71, 32, 109
net4, net4-10-60, 3, 3, 0, 3, 0, 94, 44, 43, 60
net4, net4-10-60, 4, 18, 12, 6, 0, 79, 13, 11, 26
net4, net4-10-60, 5, 26, 23, 3, 0, 59, 10, 19, 17
net4, net4-10-60, 6, 40, 39, 1, 0, 22, 4, 5, 5
net4, net4-10-60, 7, 19, 19, 0, 0, 4, 3, 5, 3
net4, net4-10-60, 8, 4, 4, 0, 0, 0, 2, 5, 1

net4, net4-60-10, 1, 1000, 410, 590, 0, 0, -1, -1, -1
net4, net4-60-10, 2, 9, 9, 0, 0, 581, 71, 4, 137
net4, net4-60-10, 3, 12, 6, 6, 0, 569, 66, 30, 107
net4, net4-60-10, 4, 21, 12, 9, 0, 554, 45, 13, 74
net4, net4-60-10, 5, 25, 17, 8, 0, 538, 36, 11, 59
net4, net4-60-10, 6, 42, 27, 15, 0, 504, 30, 7, 52
net4, net4-60-10, 7, 55, 39, 16, 0, 464, 27, 3, 47
net4, net4-60-10, 8, 45, 43, 2, 0, 435, 24, 3, 44
net4, net4-60-10, 9, 57, 40, 17, 0, 380, 21, 10, 37
net4, net4-60-10, 10, 82, 75, 7, 0, 315, 16, 3, 30
net4, net4-60-10, 11, 56, 54, 2, 0, 266, 13, 4, 25
net4, net4-60-10, 12, 66, 66, 0, 0, 202, 10, 5, 21
net4, net4-60-10, 13, 74, 71, 3, 0, 128, 7, 7, 14
net4, net4-60-10, 14, 105, 104, 1, 0, 26, 4, 5, 7
net4, net4-60-10, 15, 18, 18, 0, 0, 9, 3, 3, 3
net4, net4-60-10, 16, 9, 9, 0, 0, 0, 1, 4, 0

net4, net4-60-60, 1, 1000, 412, 588, 0, 0, -1, -1, -1
net4, net4-60-60, 2, 11, 10, 1, 0, 577, 71, 32, 109
net4, net4-60-60, 3, 7, 0, 7, 0, 571, 42, 45, 50
net4, net4-60-60, 4, 26, 23, 3, 0, 552, 14, 7, 33
net4, net4-60-60, 5, 191, 177, 14, 0, 364, 10, 16, 15
net4, net4-60-60, 6, 247, 0, 0, 247, 131, 6, 5, 8

net5, net5-10-10, 1, 1000, 885, 115, 0, 0, -1, -1, -1
net5, net5-10-10, 2, 21, 21, 0, 0, 94, 71, 6, 132
net5, net5-10-10, 3, 3, 0, 3, 0, 91, 66, 29, 103
net5, net5-10-10, 4, 8, 3, 5, 0, 86, 42, 20, 75
net5, net5-10-10, 5, 6, 5, 1, 0, 85, 29, 8, 61
net5, net5-10-10, 6, 7, 1, 6, 0, 79, 24, 8, 48
net5, net5-10-10, 7, 26, 21, 5, 0, 59, 19, 3, 38
net5, net5-10-10, 8, 12, 10, 2, 0, 52, 16, 3, 35
net5, net5-10-10, 9, 7, 4, 3, 0, 47, 13, 6, 31
net5, net5-10-10, 10, 10, 10, 0, 0, 40, 10, 7, 26
net5, net5-10-10, 11, 14, 14, 0, 0, 26, 7, 3, 18
net5, net5-10-10, 12, 7, 7, 0, 0, 19, 7, 5, 14
net5, net5-10-10, 13, 16, 16, 0, 0, 3, 4, 6, 7
