Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities
net2, net2-10-60, 35, 35, 0, 35, 0, 965, 38, 1, 85
net2, net2-10-60, 36, 49, 0, 49, 0, 951, 37, 1, 83
net2, net2-10-60, 37, 51, 0, 51, 0, 949, 36, 1, 78
net2, net2-10-60, 38, 42, 0, 42, 0, 958, 35, 1, 75
net2, net2-10-60, 39, 42, 0, 42, 0, 958, 34, 1, 74
net2, net2-10-60, 40, 41, 0, 41, 0, 959, 33, 1, 73
net2, net2-10-60, 41, 28, 0, 28, 0, 972, 32, 1, 71
net2, net2-10-60, 42, 37, 0, 37, 0, 963, 31, 1, 69
net2, net2-10-60, 43, 36, 0, 36, 0, 964, 30, 1, 68
net2, net2-10-60, 44, 39, 0, 39, 0, 961, 29, 1, 67
net2, net2-10-60, 45, 32, 0, 32, 0, 968, 28, 1, 66
net2, net2-10-60, 46, 26, 0, 26, 0, 974, 27, 1, 64
net2, net2-10-60, 47, 33, 0, 33, 0, 967, 26, 1, 63
net2, net2-10-60, 48, 28, 0, 28, 0, 972, 25, 1, 62
net2, net2-10-60, 49, 30, 0, 30, 0, 970, 24, 1, 58
net2, net2-10-60, 50, 33, 0, 33, 0, 967, 23, 1, 57
net2, net2-10-60, 51, 32, 0, 32, 0, 968, 22, 1, 56
net2, net2-10-60, 52, 48, 0, 48, 0, 952, 20, 2, 53
net2, net2-10-60, 53, 29, 0, 29, 0, 971, 19, 1, 52
net2, net2-10-60, 54, 27, 0, 27, 0, 973, 18, 1, 51
net2, net2-10-60, 55, 25, 0, 25, 0, 975, 17, 1, 50

net2, net2-60-10, 1, 1000, 407, 593, 0, 0, -1, -1, -1
net2, net2-60-10, 2, 152, 1, 151, 0, 848, 76, 1, 144
net2, net2-60-10, 3, 146, 0, 146, 0, 854, 74, 1, 141
net2, net2-60-10, 4, 125, 1, 124, 0, 875, 73, 1, 138
